reciter_id	name_en	name_ar	country	slug	riwayah	style	recording_context	recording_year	source	channel	audio_category	chapter_count	codec	container	sample_rate_hz	channels	bitrate_mode	bitrate_kbps_nominal	total_duration_sec	state
sultan_al_rukan	Sultan Al-Rukan	سلطان الروكان		sultan_al_rukan_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	11	mp3	mp3	22050	2	cbr	64	3078	
syed_saeed	Syed Saeed	سيد سعيد		syed_saeed_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	38	mp3	mp3	44100	2	mixed		60364	
tamer_islam	Tamer Islam	تامر إسلام		tamer_islam_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	22050	2	mixed		92917	
tamim_al_rimi	Tamim Al-Rimi	تميم الريمي	Saudi Arabia	tamim_al_rimi_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	114	mp3	mp3			unknown			
tamim_al_rimi	Tamim Al-Rimi	تميم الريمي	Saudi Arabia	tamim_al_rimi_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	44100	1	cbr	64	88200	
tareq_daawob	Tareq Daawob	طارق عبد الغني دعوب		tareq_daawob_qalon_mp3quran	qalon_an_nafi	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	22050	2	mixed		99075	
tareq_daawob	Tareq Daawob	طارق عبد الغني دعوب		tareq_daawob_qalon_tvquran	qalon_an_nafi	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	22050	2	cbr	56	98332	
tareq_mohammed	Tareq Mohammed	طارق محمد		tareq_mohammed_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	46	mp3	mp3	44100	2	mixed		40321	
tawfiq_al_nouri	Tawfiq Al-Nouri	توفيق النوري		tawfiq_al_nouri_warsh_tvquran	warsh_an_nafi	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	44100	2	cbr	128	94100	
tawfiq_as_sayegh	Tawfiq As-Sayegh	توفيق الصايغ		tawfiq_as_sayegh_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	44100	2	mixed		91776	
tawfiq_as_sayegh	Tawfiq As-Sayegh	توفيق الصايغ		tawfiq_as_sayegh_qdc	hafs_an_asim	murattal			quranicaudio	quranicaudio	by_surah	114	mp3	mp3	44100	2	mixed		91852	
tawfiq_as_sayegh	Tawfiq As-Sayegh	توفيق الصايغ		tawfiq_as_sayegh_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	22050	2	cbr	64	91801	
ustaz_zamri	Ustaz Zamri	أستاذ زامري	Malaysia	ustaz_zamri_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	7	mp3	mp3	44100	2	cbr	128	3398	
ustaz_zamri	Ustaz Zamri	أستاذ زامري	Malaysia	ustaz_zamri_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	7	mp3	mp3	44100	2	cbr	128	3402	
wadie_al_yamani	Wadie Al-Yamani	وديع اليمني	Yemen	wadie_al_yamani_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	44100	2	cbr	128	105044	
wadie_al_yamani	Wadie Al-Yamani	وديع اليمني	Yemen	wadie_al_yamani_qdc	hafs_an_asim	murattal			quranicaudio	quranicaudio	by_surah	114	mp3	mp3	44100	2	cbr	128	105474	
